Timestamp,Milliseconds,X,Y,Z
2018-10-26 19:14:57,12001,-3.4,-18.300001,-5.2000003
2018-10-26 19:14:57,12101,-4.3,-18.800001,-5.5
2018-10-26 19:14:58,12201,-4.0,-18.5,-4.9
2018-10-26 19:14:58,12301,-3.8,-18.300001,-5.8
2018-10-26 19:14:58,12402,-4.6,-18.7,-5.2000003
2018-10-26 19:14:58,12501,-4.1,-18.4,-6.7000003
2018-10-26 19:14:58,12602,-3.2,-18.4,-6.7000003
2018-10-26 19:14:58,12701,-3.7,-18.800001,-4.8
2018-10-26 19:14:58,12802,-3.5,-18.4,-6.1
2018-10-26 19:14:58,12901,-6.5,-18.5,-6.7000003
2018-10-26 19:14:58,13001,-4.1,-18.4,-7.3
2018-10-26 19:14:58,13101,-4.7000003,-18.4,-7.9
2018-10-26 19:14:59,13201,-4.4,-18.6,-5.8
2018-10-26 19:14:59,13302,-5.3,-18.7,-7.0
2018-10-26 19:14:59,13401,-4.1,-17.300001,-6.4
2018-10-26 19:14:59,13501,-5.0,-17.5,-7.4
2018-10-26 19:14:59,13601,-4.1,-18.300001,-7.6
2018-10-26 19:14:59,13702,-4.4,-18.800001,-6.7000003
2018-10-26 19:14:59,13801,-2.9,-18.2,-7.0
2018-10-26 19:14:59,13901,-4.7000003,-17.6,-6.4
2018-10-26 19:14:59,14001,-5.0,-18.0,-7.7000003
2018-10-26 19:14:59,14102,-4.4,-17.6,-5.8
2018-10-26 19:15:00,14201,-5.0,-17.5,-6.1
2018-10-26 19:15:00,14301,-3.5,-17.800001,-6.1
2018-10-26 19:15:00,14401,-4.4,-16.800001,-7.4
2018-10-26 19:15:00,14501,-4.1,-18.1,-6.7000003
2018-10-26 19:15:00,14602,-5.0,-18.0,-8.3
2018-10-26 19:15:00,14701,-4.1,-17.9,-6.4
2018-10-26 19:15:00,14801,-5.0,-18.5,-7.3
2018-10-26 19:15:00,14901,-4.4,-18.4,-7.9
2018-10-26 19:15:00,15001,-4.7000003,-18.9,-8.900001
2018-10-26 19:15:00,15102,-4.4,-18.300001,-8.3
2018-10-26 19:15:01,15201,-5.0,-18.0,-7.7000003
2018-10-26 19:15:01,15301,-5.0,-18.1,-7.3
2018-10-26 19:15:01,15402,-4.7000003,-18.5,-6.1
2018-10-26 19:15:01,15501,-4.7000003,-19.6,-6.4
2018-10-26 19:15:01,15601,-3.1000001,-20.300001,-3.9
2018-10-26 19:15:01,15701,-4.6,-20.5,-4.8
2018-10-26 19:15:01,15801,-5.0,-20.6,-6.9
2018-10-26 19:15:01,15901,-4.6,-20.6,-8.8
2018-10-26 19:15:01,16002,-5.6,-20.0,-10.1
2018-10-26 19:15:01,16104,-9.3,-19.2,-12.7
2018-10-26 19:15:02,16202,-10.0,-21.6,-10.3
